Unnamed: 0.1,Unnamed: 0,Names,Class,[H/Mg],[C/Mg],[O/Mg],[Na/Mg],[Mg/Mg],[Al/Mg],[Si/Mg],[P/Mg],[S/Mg],[K/Mg],[Ca/Mg],[Ti/Mg],[Cr/Mg],[Mn/Mg],[Fe/Mg],[Co/Mg],[Ni/Mg],[Cu/Mg],[Zn/Mg],[He/Mg],[Li/Mg],[Be/Mg],[B/Mg],[N/Mg],[F/Mg],[Ne/Mg],[Cl/Mg],[Ar/Mg],[Sc/Mg],[V/Mg],[Ga/Mg],[Ge/Mg]
77,77,Y74662,CC,0.536751,,0.756251,-1.724549,0.0,-1.010549,0.006451,-2.169549,-0.755849,-2.750549,-1.198549,-2.239549,-1.844549,-2.188549,-0.080569,-2.679549,-1.623549,,,,,,,,,,,,,,,
78,78,Y790032,CC,0.56565,,0.75925,-1.78355,0.0,-1.00975,-0.04655,-1.90755,-0.74795,-2.88555,-1.16255,-2.47855,-1.92755,-2.12555,-0.10953,-2.72755,-1.49455,,,,,,,,,,,,,,,
79,79,Y791198,CC,0.55549,,0.76199,-2.00031,0.0,-0.97401,-0.01031,-2.12131,-0.72431,-2.88131,-1.21631,-2.50831,-1.94231,-2.10431,-0.10686,-2.80231,-1.59631,,,,,,,,,,,,,,,
80,80,Y791824,CC,0.4653,-0.6263,0.7579,-1.3759,0.0,-1.0459,0.0201,-2.1669,-0.6648,-2.7479,-1.2059,-2.5009,-1.9049,-2.2059,-0.1076,,-1.3899,,,,,,,,,,,,,,,
81,81,Y793321,CC,0.30826,-0.54924,0.69956,-1.41564,0.0,-1.03364,-0.01964,-2.12264,-0.66244,-2.67664,-1.15064,-2.49164,-1.93064,-2.21164,-0.11187,,-1.38564,,,,,,,,,,,,,,,
82,82,Y82042,CC,0.70645,,0.80675,-1.47835,0.0,-1.17735,-0.04035,-2.12135,-0.77365,-2.86435,-1.18935,-2.39535,-1.91535,-2.10435,-0.11075,,-1.71335,,,,,,,,,,,,,,,
83,83,Y86720,CC,0.09439,,0.60809,-1.44991,0.0,-0.97491,-0.05391,-2.26591,-0.58041,-2.73191,-1.20791,-2.61891,-2.00491,-2.32991,-0.12333,-2.84691,-1.45091,,,,,,,,,,,,,,,
84,84,A882094,CC,-0.09102,,0.60758,-1.83922,0.0,-0.99792,-0.05422,-2.93122,-1.09622,-2.85022,-1.24722,-2.53522,-1.95222,-2.16822,-0.15126,-3.07222,-1.37222,,,,,,,,,,,,,,,
85,85,ALH77003,CC,-0.44393,-1.39903,0.59367,-1.50903,0.0,-1.01203,-0.01103,-2.25503,-1.02403,-2.66103,-1.16903,-2.52303,-1.95703,-2.12603,-0.12383,-2.69103,-1.39803,,,,,,,,,,,,,,,
86,86,ALH77003,CC,-0.43881,,0.58339,-1.50271,0.0,-1.03271,-0.02071,-2.21071,-1.03871,-2.66971,-1.17471,-2.56271,-1.95671,-2.30371,-0.11483,-2.78871,-1.45371,,,,,,,,,,,,,,,
87,87,ALH77307,CC,0.153704,-0.900996,0.659604,-2.039796,0.0,-1.033796,-0.006796,-2.232796,-0.874796,-2.920796,-1.217796,-2.585796,-1.923796,-2.274796,-0.106896,-2.716796,-1.257796,,,,,,,,,,,,,,,
88,88,ALH77307,CC,0.30966,,0.69986,-1.98444,0.0,-1.11644,-0.02744,-2.09744,-0.93334,,-1.19544,-2.78044,-1.93244,-2.27344,-0.10336,-2.89144,-1.44644,,,,,,,,,,,,,,,
89,89,ALH82101,CC,-1.16057,-2.07657,0.56793,-1.40257,0.0,-0.97277,-0.01557,-2.30357,-0.77277,-2.60257,-1.18857,-2.56357,-1.99257,-2.30357,-0.12627,-2.69957,-1.37657,,,,,,,,,,,,,,,
90,90,Colony,CC,0.10737,-1.03339,0.71731,-2.23139,0.0,-0.96539,0.03361,-2.16539,-1.41539,-2.66839,-1.30039,-2.48239,-1.87639,-2.22339,-0.04581,,,,,,,,,,,,,,,,,
91,91,Felix,CC,,,,,0.0,-1.05898,-0.01698,-2.23798,,-2.80398,-1.19798,-2.58598,34.50302,-2.30298,-0.14158,,,,,,,,,,,,,,,,,
92,92,Felix,CC,,-1.19594,0.57206,-1.49094,0.0,-1.01334,-0.01794,-2.08994,-0.97524,-2.74394,-1.17594,-2.67294,-2.00694,-2.29894,-0.10286,-2.69494,-1.40494,,,,,,,,,,,,,,,
93,93,Felix,CC,-1.4397,-1.2127,0.6546,-1.3887,0.0,-0.8866,0.0573,,-0.9567,-2.2167,-0.7022,,-1.6677,-1.7087,-0.02207,-2.5567,-1.3977,,,,,,,,,,,,,,,
94,94,Isna,CC,-0.51371,-1.56751,0.59509,-1.38851,0.0,-1.03951,-0.01851,-2.31651,-1.05551,-2.66151,-1.18451,-2.55451,-1.97551,-2.25551,-0.11839,-2.69151,-1.35651,,,,,,,,,,,,,,,
95,95,Lance,CC,,,,,0.0,-1.06283,-0.02683,-2.23683,,-2.78783,-1.18583,-2.58083,34.51317,-2.31383,-0.13133,,,,,,,,,,,,,,,,,
96,96,Lance,CC,,-1.18358,0.57732,-1.49458,0.0,-1.00678,-0.02358,-2.11258,-0.89808,-2.29358,-1.09358,-2.55458,-1.95658,-2.31658,-0.10534,-2.69158,-1.35858,,,,,,,,,,,,,,,
97,97,Or-1s,CC,-1.47185,,0.48015,-1.52385,0.0,,-0.02585,-2.07885,-0.90825,-2.21485,-1.22185,,-1.95385,-2.36785,-0.83775,,,,,,,,,,,,,,,,,
98,98,Warrenton,CC,,-1.567833,0.580267,-1.419833,0.0,-1.135833,-0.003833,-2.316833,-1.001633,-2.077833,-1.178833,-2.493833,-1.883833,-2.316833,-0.095793,-2.582833,-1.379833,,,,,,,,,,,,,,,
99,99,Y790992,CC,-0.12349,,0.61827,-1.66253,0.0,-0.87323,-0.05753,-2.28153,-1.10253,-2.84453,-1.26953,-2.42053,-1.93853,-2.42053,-0.14041,-2.86253,-1.42953,,,,,,,,,,,,,,,
100,100,Y791717,CC,-0.43206,,0.60814,-1.58296,0.0,-1.03296,-0.01996,-2.16696,-1.00156,-2.65796,-1.18996,-2.36496,-1.94496,-2.21596,-0.11209,-2.88096,-1.44596,,,,,,,,,,,,,,,
101,101,Y81020,CC,0.0763,,0.644,-2.1354,0.0,-0.8475,-0.0344,-2.3304,-1.1014,-3.1304,-1.1744,-2.4564,-1.9314,-2.3084,-0.1474,-2.8754,-1.5054,,,,,,,,,,,,,,,
102,102,Y82050,CC,-0.37479,,0.58381,-1.74899,0.0,-1.04799,-0.03799,-2.17999,-0.82739,-2.75099,-1.20899,-2.77599,-1.94099,-2.13599,-0.13209,-2.84799,-1.42499,,,,,,,,,,,,,,,
103,103,Y82094,CC,-1.17722,,0.53278,-1.72522,0.0,-0.77832,-0.06922,-2.11922,-1.16222,-3.02022,-1.16722,-2.42622,-1.97322,-2.42022,-0.21532,-2.75622,-1.55222,,,,,,,,,,,,,,,
104,104,Y790112,CC,-0.032463,,0.63875,-1.80385,0.0,-1.19685,-0.03485,-2.40585,-1.19385,-2.83085,-1.18385,-2.62085,-1.92385,-2.21285,-0.1066,-2.86685,-1.38485,,,,,,,,,,,,,,,
105,105,Y793495,CC,-0.00912,,0.60131,-1.89209,0.0,-1.08909,-0.03309,-1.98009,-1.26509,-2.73609,-1.31009,-2.71109,-2.04109,-2.33509,-0.07413,-2.87009,-1.36409,,,,,,,,,,,,,,,
106,106,Allende,CC,,-1.40318,0.57652,-1.62418,0.0,-0.97848,-0.03018,-2.27518,-1.12418,-2.98218,-1.11818,-2.51218,-1.95018,-2.38118,-0.15568,-3.55618,-1.99818,,,,,,,,,,,,,,,
