tail,v_esc,v0,m_chi_gev,delta_keV,rate_at_event_per_ty,mean_rate_livetime_per_ty,bayes_factor_timing,energy_density_at_event_per_keV,peak_date,fractional_modulation,fraction_of_year_on
sharp,500.0,220.0,1000.0,400.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,220.0,1000.0,420.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,220.0,1000.0,440.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,220.0,1000.0,460.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,220.0,1000.0,480.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,220.0,10000.0,0.0,1.900160473420621,1.948465172164513,0.9752088467199898,9.996043091226126e-06,2023-12-02,0.02616539532031677,1.0
sharp,500.0,220.0,10000.0,20.0,1.5236831713670538,1.5305827590523444,0.9954921825399611,1.0477689033214782e-05,2023-12-02,0.004397298187468081,1.0
sharp,500.0,220.0,10000.0,40.0,1.0027998564297533,0.9781262764092603,1.025225352406512,1.3111225407270518e-05,2023-05-31,0.027091798906714655,1.0
sharp,500.0,220.0,10000.0,60.0,0.5523950026998878,0.5226833474025704,1.056844465095295,1.918856969192461e-05,2023-05-31,0.060067793131887974,1.0
sharp,500.0,220.0,10000.0,80.0,0.2688220364163776,0.2473436701767107,1.0868361265292215,3.108666593574156e-05,2023-05-31,0.09089724796050198,1.0
sharp,500.0,220.0,10000.0,100.0,0.12073351957200318,0.10821284792431071,1.1157041135859398,5.331086106212837e-05,2023-05-31,0.12016447774167723,1.0
sharp,500.0,220.0,10000.0,120.0,0.051335357621949275,0.04485760010996975,1.144407134935866,9.422712377630677e-05,2023-05-31,0.1488749013514769,1.0
sharp,500.0,220.0,10000.0,140.0,0.021085979506687266,0.017975549864322822,1.1730366896056907,0.00016798580456747414,2023-05-31,0.17711487994720623,1.0
sharp,500.0,220.0,10000.0,160.0,0.008567478129699362,0.007138086888253111,1.2002485068931492,0.00029445210225537084,2023-05-31,0.20350005117582098,1.0
sharp,500.0,220.0,10000.0,180.0,0.003563687138589502,0.0029160643681666095,1.2220879543993286,0.0004891116984837788,2023-05-31,0.22418249835343007,1.0
sharp,500.0,220.0,10000.0,200.0,0.0015791093855033191,0.0012779801296494402,1.2356290593786312,0.0007372384144282056,2023-05-31,0.23671944581297916,1.0
sharp,500.0,220.0,10000.0,220.0,0.0007579084382156127,0.0006075844746056353,1.2474124502729407,0.0009863440212131396,2023-05-31,0.24816941899136663,1.0
sharp,500.0,220.0,10000.0,240.0,0.00038075598683692466,0.0002987823480242788,1.2743590421412203,0.0012017395686955382,2023-05-31,0.2749919371880421,1.0
sharp,500.0,220.0,10000.0,260.0,0.00018562350402182107,0.00013898864069315352,1.3355300339372609,0.0014178604480704106,2023-05-31,0.3338065970143189,1.0
sharp,500.0,220.0,10000.0,280.0,8.00291573421468e-05,5.503184046807586e-05,1.4542337065497921,0.00173298281155226,2023-05-31,0.44038010044353215,1.0
sharp,500.0,220.0,10000.0,300.0,2.7237765281684533e-05,1.6242437219166838e-05,1.6769506271843668,0.002338158953288393,2023-05-31,0.6136015475985965,1.0
sharp,500.0,220.0,10000.0,320.0,6.086151748239332e-06,2.8785454285473845e-06,2.114314989744879,0.0037255593835510137,2023-05-31,0.8492343401866581,1.0
sharp,500.0,220.0,10000.0,340.0,5.83392861771536e-07,1.9679262757686438e-07,2.964505677651319,0.007385950692694107,2023-05-31,0.9931915981617309,1.0
sharp,500.0,220.0,10000.0,360.0,5.855408942412804e-09,1.36215880193989e-09,4.29862431169842,0.013244373973538576,2023-05-31,1.0,0.6301369863013698
