table_name,description
"'J/MNRAS/436/430/tablea3'","SCUBA-2 + Herschel submm photometry for sources in Roseboom et al. (2012MNRAS.426.1782R) ( Roseboom I.G., Dunlop J.S., Cirasuolo M., et al.)"
"'J/MNRAS/440/942/table1'","The PACS 100 and 160 micron flux densities of the Herschel Reference Survey (HRS) ( Cortese L., Fritz J., Bianchi S., et al.)"
"'J/MNRAS/456/3335/table12'","Herschel-BAT with SPIRE flux densities (tables 1 and 2 of the paper) ( Shimizu T.T., Melendez M., Mushotzky R.F., Koss M.J., Barger A.J., Cowie L.L.)"
"'J/MNRAS/457/2703/table14'","*Table of key properties, SFRs, far-UV, mid-IR, far-IR photometry, and estimated infrared luminosities for galaxies from the SDSS Main Galaxy in the Herschel Stripe 82 Survey at 0.04<z<0.15. ( Rosario D.J., Mendel J.T., Ellison S.L., Lutz D., Trump J.R.)"
"'J/MNRAS/458/4512/table3'","Herschel/PACS and SPIRE observing programmes ( Garcia-Gonzalez J., Alonso-Herrero A., Hernan-Caballero A., et al.)"
"'J/MNRAS/458/582/tablea1'","Herschel far infrared measurements of Coma Cluster Catalogue galaxies ( Fuller C., Davies J.I., Smith M.W.L., Valiante E., Eales S., Bourne N., Dunne L., Dye S., Furlanetto C., Ibar E., Ivison R., Maddox S., Sansom A., Michalowski M.J., Davis T.)"
"'J/MNRAS/458/582/tableb1'","Herschel far infrared measurements of Coma Filament Catalogue galaxies ( Fuller C., Davies J.I., Smith M.W.L., Valiante E., Eales S., Bourne N., Dunne L., Dye S., Furlanetto C., Ibar E., Ivison R., Maddox S., Sansom A., Michalowski M.J., Davis T.)"
"'J/MNRAS/459/1626/table46'","*Observed PACS and SPIRE fluxes (table 4) and optical counterparts (table 6) for Herschel-detected sources within the HST Frontier Fields ( Rawle T.D., Altieri B., Egami E., et al.)"
"'J/MNRAS/460/4150/table5'","Submillimetre clumps and their respective SCUBA-2 and Herschel fluxes and properties in the W40 complex ( Rumble D., Hatchell J., Pattle K., et al.)"
"'J/MNRAS/462/2878/table2'","Summary of FIR observations with Herschel and IRAS ( Povic M., Marquez I., Netzer H., Masegosa J., Nordon R., Perez E., Schoenell W.)"
"'J/MNRAS/463/1008/tablea13'","CSAR output for Herschel (tablea1) and filtered-Herschel (tablea3) sources ( Ward-thompson D., Pattle K., Kirk J.M., et al.)"
"'J/MNRAS/463/1008/tablea24'","Derived properties of Herschel (tablea2) and filtered-Herschel (tablea4) sources ( Ward-thompson D., Pattle K., Kirk J.M., et al.)"
"'J/MNRAS/463/1008/tableb1'","Sources detected in increased-noise filtered Herschel 250-um data ( Ward-thompson D., Pattle K., Kirk J.M., et al.)"
"'J/MNRAS/471/28/tablea1'","Herschel photometry of the objects studied in this work ( Kalfountzou E., Stevens J.A., Jarvis M.J., Hardcastle M.J., Wilner D., Elvis M., Page M.J., Trichas M., Smith D.J.B.)"
"'J/MNRAS/473/3671/tableb'","Golden aperture and segmentation photometry at 12 and 22um (WISE), 70, 160, 250, 350 and 500um (Herschel) (Tables B1-B7 of the paper) (example of the catalog) ( Bufano F., Leto P., Carey D., Umana G., Buemi C., Ingallinera A., Bulpitt A., Cavallaro F., Riggi S., Trigilio C., Molinari S.)"
"'J/MNRAS/480/3562/tableb6'","Herschel/PACS and SPIRE photometry ( Dietrich J., Weiner A.S., Ashby M.L.N., Hayward C.C., Martinez-Galarza J.R., Ramos Padilla A.F., Rosenthal L., Smith H.A., Willner S.P., Zezas A.)"
"'J/MNRAS/485/586/table3'","Limiting fluxes (5{sigma}) of the Spitzer and Herschel photometric catalogues used in this work ( Rodriguez-Munoz L., Rodighiero G., Mancini C., et al.)"
"'J/PASP/122/261/table1'","The Herschel Reference Sample ( Boselli A., Eales S., Cortese L., et al.)"
"'VIII/106/hpesl'","Herschel/PACS slightly extended sources list ( Herschel Point Source Catalogue Working Group, Marton G., Calzoletti L., Perez Garcia A.M., Kiss C., Paladini R., Altieri B., Sanchez Portal M., Kidger M.)"
"'VIII/106/hppsc070'","Herschel/PACS Point Source catalog at 70um ( Herschel Point Source Catalogue Working Group, Marton G., Calzoletti L., Perez Garcia A.M., Kiss C., Paladini R., Altieri B., Sanchez Portal M., Kidger M.)"
"'VIII/106/hppsc100'","Herschel/PACS Point Source catalog at 100um ( Herschel Point Source Catalogue Working Group, Marton G., Calzoletti L., Perez Garcia A.M., Kiss C., Paladini R., Altieri B., Sanchez Portal M., Kidger M.)"
"'VIII/106/hppsc160'","Herschel/PACS Point Source catalog at 160um ( Herschel Point Source Catalogue Working Group, Marton G., Calzoletti L., Perez Garcia A.M., Kiss C., Paladini R., Altieri B., Sanchez Portal M., Kidger M.)"
"'VIII/106/hprsl'","Herschel/PACS rejected source list ( Herschel Point Source Catalogue Working Group, Marton G., Calzoletti L., Perez Garcia A.M., Kiss C., Paladini R., Altieri B., Sanchez Portal M., Kidger M.)"
"'VIII/112/spsc250'","Herschel/SPIRE Point Source Catalogue @ 250um ( Herschel team, Schulz B., Marton G., Valtchanov I., Perez Garcia A.M., Pinter S., Appleton P., Kiss C., Lim T., Lu N., Papageorgiou A., Pearson C., Rector J., Sanchez Portal M., Shupe D., Toth V.L., Van Dyk S., Varga-Verebelyi E., Xu K.)"
"'VIII/112/spsc350'","Herschel/SPIRE Point Source Catalogue @ 350um ( Herschel team, Schulz B., Marton G., Valtchanov I., Perez Garcia A.M., Pinter S., Appleton P., Kiss C., Lim T., Lu N., Papageorgiou A., Pearson C., Rector J., Sanchez Portal M., Shupe D., Toth V.L., Van Dyk S., Varga-Verebelyi E., Xu K.)"
"'VIII/112/spsc500'","Herschel/SPIRE Point Source Catalogue @ 500um ( Herschel team, Schulz B., Marton G., Valtchanov I., Perez Garcia A.M., Pinter S., Appleton P., Kiss C., Lim T., Lu N., Papageorgiou A., Pearson C., Rector J., Sanchez Portal M., Shupe D., Toth V.L., Van Dyk S., Varga-Verebelyi E., Xu K.)"
"'VIII/112/xidtable'","Cross identification table ( Herschel team, Schulz B., Marton G., Valtchanov I., Perez Garcia A.M., Pinter S., Appleton P., Kiss C., Lim T., Lu N., Papageorgiou A., Pearson C., Rector J., Sanchez Portal M., Shupe D., Toth V.L., Van Dyk S., Varga-Verebelyi E., Xu K.)"
"'VI/139/herschel'","The Herschel Observation Log ( Herschel Science Centre)"
