name,reference,atmosphere,teff,n_measured,flag,element,fired,z,phase_constraint,note,kills,survives
SDSS J110216.09+282730.7,Hollands 2017,He,6400.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J113209.59+332353.0,Hollands 2017,He,6250.0,6,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J113209.59+332353.0,Hollands 2017,He,6250.0,6,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J114441.92+121829.2,Hollands 2017,He,5434.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J225448.83+303107.1,Hollands 2017,He,5900.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J115818.76+045447.5,Hollands 2017,He,5270.0,6,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J122035.75+092948.1,Hollands 2017,He,6640.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J122943.92+074311.8,Hollands 2017,He,6160.0,6,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J123415.21+520808.1,Hollands 2017,He,7630.0,6,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J124231.07+522626.6,Raddi 2015,He,13000.0,8,PURE_SI_WITHOUT_O_MG_FE,,False,0.0,rest_of_panel_fit,,,
SDSS J124231.07+522626.6,Raddi 2015,He,13000.0,8,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J1248+1005,Doyle 2023,He,15180.0,7,PURE_SI_WITHOUT_O_MG_FE,,False,0.0,rest_of_panel_fit,,,
SDSS J1248+1005,Doyle 2023,He,15180.0,7,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J132144.04-023751.4,Hollands 2017,He,5620.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J133624.26+354751.2,Hollands 2017,He,6600.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J134520.99+115357.6,Hollands 2017,He,6020.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J135123.86+264546.5,Hollands 2017,He,5980.0,6,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J141140.27+341039.4,Hollands 2017,He,5480.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J143007.15-015129.5,Hollands 2017,He,6150.0,6,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J144535.03+091340.4,Hollands 2017,He,6580.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J152449.58+404938.1,Hollands 2017,He,5900.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J153642.53+420519.2,Hollands 2017,He,5800.0,6,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J154201.75+465020.2,Hollands 2017,He,6060.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J154625.33+300946.2,Hollands 2017,He,6600.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J154933.23+190646.7,Hollands 2017,He,6460.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J154933.23+190646.7,Hollands 2017,He,6460.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J161603.00+330301.3,Hollands 2017,He,6400.0,6,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J164939.22+223807.2,Hollands 2017,He,5332.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J1734+6052,Doyle 2023,He,16340.0,5,PURE_SI_WITHOUT_O_MG_FE,,False,0.0,unconstrained_full_grid,,,
SDSS J1734+6052,Doyle 2023,He,16340.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J223014.70+190514.4,Hollands 2017,He,5600.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J223014.70+190514.4,Hollands 2017,He,5600.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
