source_id,kind,depth,ratio,g_noise,snr,med_flux_g,s_col,colour_testable,pre_existing_event,recovered,grey_class,coherence,tier
23544156018885248,dust,0.030852428786684774,1.7,0.004849132139892303,6.362464023793336,40460.93321699004,0.007371430685735689,False,False,True,GREY_UNCONSTRAINED,MULTI,C
23625653023216384,grey,0.3621993311978994,1.0,0.02894215275080447,12.514595383297179,541.5560557978068,0.3538591514564618,False,False,True,G_ONLY,MULTI,C
23625653023216384,dust,0.3621993311978994,1.7,0.02894215275080447,12.514595383297179,541.5560557978068,0.3538591514564618,False,False,True,G_ONLY,MULTI,C
23769177945357440,grey,0.20717307370918497,1.0,0.27537553745446886,0.7523292577992313,172744.83245041277,0.11068960152837684,False,False,False,,,
23769177945357440,dust,0.20717307370918497,1.7,0.27537553745446886,0.7523292577992313,172744.83245041277,0.11068960152837684,False,False,False,,,
23989316493803520,grey,0.1810845302471334,1.0,0.1253311080746857,1.4448490325260974,8070.522630316034,0.02798393261718662,False,False,False,,,
23989316493803520,dust,0.1810845302471334,1.7,0.1253311080746857,1.4448490325260974,8070.522630316034,0.02798393261718662,False,False,False,,,
24093052839315712,grey,0.3868928175781715,1.0,0.12472705630841599,3.1019157272620235,1105.0466812817963,0.1491776675505351,False,False,False,,,
24093052839315712,dust,0.3868928175781715,1.7,0.12472705630841599,3.1019157272620235,1105.0466812817963,0.1491776675505351,False,False,False,,,
24183453310971904,grey,0.2450360805368279,1.0,0.027221343335458663,9.001616030375791,3459.4753501270534,0.07166337195003145,False,False,True,G_ONLY,MULTI,C
24183453310971904,dust,0.2450360805368279,1.7,0.027221343335458663,9.001616030375791,3459.4753501270534,0.07166337195003145,False,False,True,GREY_UNCONSTRAINED,MULTI,C
24346004937511936,grey,0.05347934938588215,1.0,0.0825115667795576,0.6481436660724247,144.99932747419126,0.6935280017935218,False,False,False,,,
24346004937511936,dust,0.05347934938588215,1.7,0.0825115667795576,0.6481436660724247,144.99932747419126,0.6935280017935218,False,False,False,,,
24428227791425664,grey,0.03935042140693549,1.0,0.006168018397453553,6.3797509785608275,78677.23112601608,0.005965530317642103,False,False,True,GREY,MULTI,A
24428227791425664,dust,0.03935042140693549,1.7,0.006168018397453553,6.3797509785608275,78677.23112601608,0.005965530317642103,False,False,True,GREY_UNCONSTRAINED,MULTI,C
24550514100342528,grey,0.1913301199428495,1.0,0.09525372189189192,2.0086366825644815,161.13028180107975,0.31135905658629354,False,False,False,,,
24550514100342528,dust,0.1913301199428495,1.7,0.09525372189189192,2.0086366825644815,161.13028180107975,0.31135905658629354,False,False,False,,,
24656548252984704,grey,0.2884020168706613,1.0,0.0556248602049723,5.184768389671945,295.7615672369336,0.48524454605304124,False,False,True,G_ONLY,MULTI,C
24656548252984704,dust,0.2884020168706613,1.7,0.0556248602049723,5.184768389671945,295.7615672369336,0.48524454605304124,False,False,True,G_ONLY,SINGLE_CONTRADICTED,C
24810896493268480,grey,0.03202405280988109,1.0,0.006291768430115247,5.089833353783255,72751.16764541838,0.009684885304118837,False,False,True,GREY_UNCONSTRAINED,MULTI,C
24810896493268480,dust,0.03202405280988109,1.7,0.006291768430115247,5.089833353783255,72751.16764541838,0.009684885304118837,False,False,False,,,
24902770138185600,grey,0.16883955100768278,1.0,0.12957628215399952,1.3030127751853493,365.2496023555701,0.39010349785691184,False,False,False,,,
24902770138185600,dust,0.16883955100768278,1.7,0.12957628215399952,1.3030127751853493,365.2496023555701,0.39010349785691184,False,False,False,,,
25003409811737856,grey,0.2714736287135244,1.0,0.11261902212041347,2.4105486231558806,142.6696943583778,0.5016780074921693,False,False,False,,,
25003409811737856,dust,0.2714736287135244,1.7,0.11261902212041347,2.4105486231558806,142.6696943583778,0.5016780074921693,False,False,False,,,
25154253358686592,grey,0.31527168620307283,1.0,0.05803327901920167,5.4326016301570315,86228.48225215105,0.022114040747393676,True,True,True,CHROMATIC_BLUE,MULTI,C
25154253358686592,dust,0.31527168620307283,1.7,0.05803327901920167,5.4326016301570315,86228.48225215105,0.022114040747393676,True,False,True,CHROMATIC_BLUE,MULTI,C
25595466759262976,grey,0.2361640424753673,1.0,0.13976110150896723,1.6897694703716595,478.39578100726055,0.361736278098467,False,False,False,,,
25595466759262976,dust,0.2361640424753673,1.7,0.13976110150896723,1.6897694703716595,478.39578100726055,0.361736278098467,False,False,False,,,
25690742018226432,grey,0.21139389117017238,1.0,0.19667889025268237,1.07481738837648,207.35804692746004,0.3336779639228972,False,False,False,,,
25690742018226432,dust,0.21139389117017238,1.7,0.19667889025268237,1.07481738837648,207.35804692746004,0.3336779639228972,False,False,False,,,
25826462984649984,grey,0.03399556592859575,1.0,0.0052128318837460315,6.5215158836401885,16119.685075614898,0.01433424453549621,False,False,True,GREY_UNCONSTRAINED,MULTI,C
25826462984649984,dust,0.03399556592859575,1.7,0.0052128318837460315,6.5215158836401885,16119.685075614898,0.01433424453549621,False,False,True,GREY_UNCONSTRAINED,MULTI,C
25954212492342784,grey,0.2189970329201912,1.0,0.06053167413855053,3.61789155903619,209.41224958246158,0.51410767219247,False,False,False,,,
